species,month,pounds_caught,year
sargo,january,0,2004
california scorpionfish,january,8,2004
white seabass,january,2162,2004
pacific angel shark,january,1770,2004
basking shark,january,0,2004
brown smoothhound shark,january,456,2004
leopard shark,january,142,2004
shortfin mako shark,january,584,2004
soupfin shark,january,2393,2004
spiny dogfish shark,january,0,2004
swell shark,january,0,2004
thresher shark,january,3961,2004
unspecified shark,january,0,2004
california sheephead,january,297,2004
unspecified skate,january,20,2004
dover sole,january,0,2004
english sole,january,25,2004
petrale sole,january,16,2004
rex sole,january,0,2004
rock sole,january,0,2004
unspecified sole,january,178,2004
barred surfperch,january,0,2004
black surfperch,january,0,2004
rubberlip surfperch,january,0,2004
unspecified surfperch,january,150,2004
swordfish,january,6472,2004
longspine thornyhead,january,75,2004
shortspine thornyhead,january,1988,2004
thornyheads,january,626,2004
albacore tuna,january,389,2004
bluefin tuna,january,443,2004
skipjack tuna,january,0,2004
yellowfin tuna,january,0,2004
ocean whitefish,january,7,2004
pacific whiting,january,1,2004
rock wrasse,january,0,2004
yellowtail,january,0,2004
crustaceans,january,NA,2004
dungeness crab,january,0,2004
box crab,january,114,2004
claws crab,january,583,2004
king crab,january,0,2004
red rock crab,january,0,2004
rock unspecified crab,january,35732,2004
sand crab,january,0,2004
spider crab,january,4426,2004
yellow rock crab,january,0,2004
unspecified crustacean,january,0,2004
california spiny lobster,january,34678,2004
ridgeback prawn,january,14478,2004
spot prawn,january,18,2004
mantis shrimp,january,33,2004
unspecified shrimp,january,0,2004
echinoderms,january,NA,2004
giant red sea cucumber,january,21052,2004
warty sea cucumber,january,14221,2004
sea stars,january,0,2004
purple sea urchin,january,0,2004
red sea urchin,january,850304,2004
mollusks,january,NA,2004
unspecified clam,january,0,2004
mussel,january,0,2004
unspecified octopus,january,1,2004
sea snail,january,106,2004
top snail,january,0,2004
moon snails,january,0,2004
jumbo squid,january,15,2004
market squid,january,6686632,2004
kellet's whelk,january,3710,2004
dolphin (fish),january,0,2004
escolar,january,716,2004
unspecified jacks,january,0,2004
opah,january,645,2004
pacific pomfret,january,310,2004
bigeye thresher shark,january,0,2004
shortfin mako shark,january,1554,2004
swordfish,january,6250,2004
albacore tuna,january,394,2004
bigeye tuna,january,8704,2004
skipjack tuna,january,0,2004
yellowfin tuna,january,58,2004
yellowtail,january,0,2004
mollusks,january,NA,2004
jumbo squid,january,0,2004
albacore tuna,january,0,2004
northern anchovy,february,639321,2004
california barracuda,february,0,2004
giant sea bass,february,453,2004
blacksmith,february,0,2004
pacific bonito,february,0,2004
butterfish (pacific pompano),february,75,2004
cabezon,february,0,2004
unspecifed croaker,february,0,2004
white croaker,february,247,2004
california moray eel,february,0,2004
escolar,february,0,2004
unspecified fish,february,0,2004
unspecified flounder,february,0,2004
flyingfish,february,0,2004
kelp greenling,february,0,2004
shovelnose guitarfish,february,612,2004
halfmoon,february,0,2004
california halibut,february,18656,2004
unspecified halibut,february,0,2004
lingcod,february,0,2004
california lizardfish,february,25,2004
louvar,february,0,2004
pacific mackerel,february,54,2004
jack mackerel,february,0,2004
unspecified mackerel,february,0,2004
opah,february,0,2004
opaleye,february,0,2004
pacific pomfret,february,0,2004
pacific electric ray,february,0,2004
bat ray,february,0,2004
unspecified ray,february,0,2004
mexican rockfish,february,0,2004
aurora rockfish,february,7,2004
bank rockfish,february,0,2004
black-and-yellow rockfish,february,0,2004
black rockfish,february,0,2004
blackgill rockfish,february,3219,2004
blue rockfish,february,0,2004
bocaccio rockfish,february,12,2004
brown rockfish,february,0,2004
chilipepper rockfish,february,0,2004
copper (whitebelly) rockfish,february,0,2004
copper rockfish,february,0,2004
flag rockfish,february,0,2004
gopher rockfish,february,0,2004
grass rockfish,february,0,2004
greenspotted rockfish,february,0,2004
group bolina rockfish,february,0,2004
group gopher rockfish,february,0,2004
group red rockfish,february,0,2004
group shelf rockfish,february,0,2004
group slope rockfish,february,0,2004
group small rockfish,february,0,2004
kelp rockfish,february,0,2004
olive rockfish,february,0,2004
redbanded rockfish,february,0,2004
rosy rockfish,february,0,2004
speckled rockfish,february,0,2004
splitnose rockfish,february,0,2004
starry rockfish,february,1,2004
treefish rockfish,february,0,2004
unspecified rockfish,february,0,2004
vermilion rockfish,february,82,2004
widow rockfish,february,0,2004
yellowtail rockfish,february,0,2004
sablefish,february,2986,2004
chinook salmon,february,0,2004
salmon,february,0,2004
pacific sanddab,february,0,2004
sanddab,february,39,2004
pacific sardine,february,230300,2004
sargo,february,0,2004
california scorpionfish,february,0,2004
white seabass,february,4193,2004
pacific angel shark,february,1685,2004
basking shark,february,0,2004
brown smoothhound shark,february,788,2004
leopard shark,february,210,2004
shortfin mako shark,february,0,2004
soupfin shark,february,905,2004
spiny dogfish shark,february,0,2004
swell shark,february,0,2004
thresher shark,february,182,2004
unspecified shark,february,0,2004
california sheephead,february,0,2004
unspecified skate,february,7,2004
dover sole,february,0,2004
english sole,february,64,2004
petrale sole,february,0,2004
rex sole,february,0,2004
rock sole,february,0,2004
unspecified sole,february,103,2004
barred surfperch,february,517,2004
black surfperch,february,0,2004
rubberlip surfperch,february,0,2004
unspecified surfperch,february,172,2004
swordfish,february,0,2004
longspine thornyhead,february,140,2004
shortspine thornyhead,february,1010,2004
thornyheads,february,1344,2004
albacore tuna,february,0,2004
bluefin tuna,february,0,2004
skipjack tuna,february,0,2004
yellowfin tuna,february,0,2004
ocean whitefish,february,5,2004
pacific whiting,february,0,2004
rock wrasse,february,0,2004
yellowtail,february,0,2004
crustaceans,february,NA,2004
dungeness crab,february,160,2004
box crab,february,67,2004
claws crab,february,572,2004
king crab,february,0,2004
red rock crab,february,0,2004
rock unspecified crab,february,31054,2004
sand crab,february,0,2004
spider crab,february,3787,2004
yellow rock crab,february,0,2004
unspecified crustacean,february,0,2004
california spiny lobster,february,18644,2004
ridgeback prawn,february,5177,2004
spot prawn,february,5525,2004
mantis shrimp,february,0,2004
unspecified shrimp,february,0,2004
echinoderms,february,NA,2004
giant red sea cucumber,february,13606,2004
warty sea cucumber,february,9303,2004
sea stars,february,0,2004
purple sea urchin,february,0,2004
red sea urchin,february,480071,2004
mollusks,february,NA,2004
unspecified clam,february,0,2004
mussel,february,0,2004
unspecified octopus,february,11,2004
sea snail,february,0,2004
top snail,february,0,2004
moon snails,february,0,2004
jumbo squid,february,0,2004
market squid,february,1131114,2004
kellet's whelk,february,3082,2004
dolphin (fish),february,555,2004
escolar,february,1033,2004
unspecified jacks,february,0,2004
opah,february,235,2004
pacific pomfret,february,3,2004
bigeye thresher shark,february,215,2004
shortfin mako shark,february,286,2004
swordfish,february,4393,2004
albacore tuna,february,199,2004
bigeye tuna,february,14406,2004
skipjack tuna,february,6,2004
yellowfin tuna,february,0,2004
yellowtail,february,0,2004
mollusks,february,NA,2004
jumbo squid,february,15,2004
albacore tuna,february,0,2004
northern anchovy,march,224980,2004
california barracuda,march,0,2004
giant sea bass,march,230,2004
blacksmith,march,0,2004
pacific bonito,march,0,2004
butterfish (pacific pompano),march,40,2004
cabezon,march,428,2004
unspecifed croaker,march,0,2004
white croaker,march,170,2004
california moray eel,march,0,2004
escolar,march,0,2004
unspecified fish,march,0,2004
unspecified flounder,march,0,2004
flyingfish,march,0,2004
kelp greenling,march,0,2004
shovelnose guitarfish,march,1035,2004
halfmoon,march,0,2004
california halibut,march,25190,2004
unspecified halibut,march,0,2004
lingcod,march,0,2004
california lizardfish,march,0,2004
louvar,march,0,2004
pacific mackerel,march,1,2004
jack mackerel,march,0,2004
unspecified mackerel,march,0,2004
opah,march,0,2004
opaleye,march,0,2004
pacific pomfret,march,0,2004
pacific electric ray,march,60,2004
bat ray,march,0,2004
unspecified ray,march,0,2004
mexican rockfish,march,0,2004
aurora rockfish,march,12,2004
bank rockfish,march,0,2004
black-and-yellow rockfish,march,2,2004
black rockfish,march,0,2004
blackgill rockfish,march,7080,2004
blue rockfish,march,45,2004
bocaccio rockfish,march,41,2004
brown rockfish,march,276,2004
chilipepper rockfish,march,0,2004
copper (whitebelly) rockfish,march,248,2004
copper rockfish,march,433,2004
flag rockfish,march,3,2004
gopher rockfish,march,33,2004
grass rockfish,march,530,2004
greenspotted rockfish,march,0,2004
group bolina rockfish,march,0,2004
group gopher rockfish,march,0,2004
group red rockfish,march,415,2004
group shelf rockfish,march,0,2004
group slope rockfish,march,0,2004
group small rockfish,march,0,2004
kelp rockfish,march,9,2004
olive rockfish,march,15,2004
redbanded rockfish,march,0,2004
rosy rockfish,march,0,2004
speckled rockfish,march,0,2004
splitnose rockfish,march,1,2004
starry rockfish,march,20,2004
treefish rockfish,march,32,2004
unspecified rockfish,march,193,2004
vermilion rockfish,march,328,2004
widow rockfish,march,0,2004
yellowtail rockfish,march,0,2004
sablefish,march,6750,2004
chinook salmon,march,0,2004
salmon,march,0,2004
pacific sanddab,march,23,2004
sanddab,march,407,2004
pacific sardine,march,947462,2004
sargo,march,0,2004
california scorpionfish,march,204,2004
white seabass,march,5133,2004
pacific angel shark,march,1492,2004
basking shark,march,0,2004
brown smoothhound shark,march,624,2004
leopard shark,march,218,2004
shortfin mako shark,march,44,2004
soupfin shark,march,485,2004
spiny dogfish shark,march,0,2004
swell shark,march,0,2004
thresher shark,march,80,2004
unspecified shark,march,0,2004
california sheephead,march,3324,2004
unspecified skate,march,0,2004
dover sole,march,0,2004
english sole,march,31,2004
petrale sole,march,0,2004
rex sole,march,0,2004
rock sole,march,0,2004
unspecified sole,march,283,2004
barred surfperch,march,887,2004
black surfperch,march,0,2004
rubberlip surfperch,march,1,2004
unspecified surfperch,march,197,2004
swordfish,march,0,2004
longspine thornyhead,march,268,2004
shortspine thornyhead,march,2239,2004
thornyheads,march,1948,2004
albacore tuna,march,0,2004
bluefin tuna,march,0,2004
skipjack tuna,march,0,2004
yellowfin tuna,march,0,2004
ocean whitefish,march,316,2004
pacific whiting,march,13,2004
rock wrasse,march,0,2004
yellowtail,march,0,2004
crustaceans,march,NA,2004
dungeness crab,march,0,2004
box crab,march,135,2004
claws crab,march,211,2004
king crab,march,34,2004
red rock crab,march,0,2004
rock unspecified crab,march,36332,2004
sand crab,march,0,2004
spider crab,march,5968,2004
yellow rock crab,march,16,2004
unspecified crustacean,march,8,2004
california spiny lobster,march,14590,2004
ridgeback prawn,march,8427,2004
spot prawn,march,5228,2004
mantis shrimp,march,199,2004
unspecified shrimp,march,0,2004
echinoderms,march,NA,2004
giant red sea cucumber,march,28686,2004
warty sea cucumber,march,37145,2004
sea stars,march,0,2004
purple sea urchin,march,0,2004
red sea urchin,march,703928,2004
mollusks,march,NA,2004
unspecified clam,march,0,2004
mussel,march,0,2004
unspecified octopus,march,0,2004
sea snail,march,125,2004
top snail,march,0,2004
moon snails,march,20,2004
jumbo squid,march,0,2004
market squid,march,542999,2004
kellet's whelk,march,1082,2004
dolphin (fish),march,142,2004
escolar,march,289,2004
unspecified jacks,march,0,2004
opah,march,53,2004
pacific pomfret,march,0,2004
bigeye thresher shark,march,0,2004
shortfin mako shark,march,73,2004
swordfish,march,635,2004
albacore tuna,march,51,2004
bigeye tuna,march,1456,2004
skipjack tuna,march,0,2004
yellowfin tuna,march,0,2004
yellowtail,march,0,2004
mollusks,march,NA,2004
jumbo squid,march,0,2004
albacore tuna,march,0,2004
northern anchovy,april,538684,2004
california barracuda,april,1757,2004
giant sea bass,april,125,2004
blacksmith,april,1,2004
pacific bonito,april,0,2004
butterfish (pacific pompano),april,156,2004
cabezon,april,930,2004
unspecifed croaker,april,0,2004
white croaker,april,268,2004
california moray eel,april,0,2004
escolar,april,0,2004
unspecified fish,april,0,2004
unspecified flounder,april,0,2004
flyingfish,april,0,2004
kelp greenling,april,0,2004
shovelnose guitarfish,april,2015,2004
halfmoon,april,0,2004
california halibut,april,24217,2004
unspecified halibut,april,0,2004
lingcod,april,42,2004
california lizardfish,april,6,2004
louvar,april,0,2004
pacific mackerel,april,19,2004
jack mackerel,april,0,2004
unspecified mackerel,april,0,2004
opah,april,0,2004
opaleye,april,0,2004
pacific pomfret,april,0,2004
pacific electric ray,april,78,2004
bat ray,april,0,2004
unspecified ray,april,0,2004
mexican rockfish,april,48,2004
aurora rockfish,april,78,2004
bank rockfish,april,0,2004
black-and-yellow rockfish,april,7,2004
black rockfish,april,0,2004
blackgill rockfish,april,3960,2004
blue rockfish,april,0,2004
bocaccio rockfish,april,310,2004
brown rockfish,april,76,2004
chilipepper rockfish,april,5,2004
copper (whitebelly) rockfish,april,0,2004
copper rockfish,april,1269,2004
flag rockfish,april,2,2004
gopher rockfish,april,26,2004
grass rockfish,april,390,2004
greenspotted rockfish,april,0,2004
group bolina rockfish,april,0,2004
group gopher rockfish,april,0,2004
group red rockfish,april,790,2004
group shelf rockfish,april,0,2004
group slope rockfish,april,0,2004
group small rockfish,april,0,2004
kelp rockfish,april,0,2004
olive rockfish,april,0,2004
redbanded rockfish,april,2,2004
rosy rockfish,april,0,2004
speckled rockfish,april,0,2004
splitnose rockfish,april,0,2004
starry rockfish,april,20,2004
treefish rockfish,april,26,2004
unspecified rockfish,april,125,2004
vermilion rockfish,april,1687,2004
widow rockfish,april,0,2004
yellowtail rockfish,april,0,2004
sablefish,april,2512,2004
chinook salmon,april,0,2004
salmon,april,0,2004
pacific sanddab,april,0,2004
sanddab,april,1771,2004
pacific sardine,april,128722,2004
sargo,april,0,2004
california scorpionfish,april,235,2004
white seabass,april,916,2004
pacific angel shark,april,1413,2004
basking shark,april,0,2004
brown smoothhound shark,april,190,2004
leopard shark,april,376,2004
shortfin mako shark,april,0,2004
soupfin shark,april,181,2004
spiny dogfish shark,april,0,2004
swell shark,april,100,2004
thresher shark,april,585,2004
unspecified shark,april,0,2004
california sheephead,april,5265,2004
unspecified skate,april,14,2004
dover sole,april,0,2004
english sole,april,23,2004
petrale sole,april,0,2004
rex sole,april,4,2004
rock sole,april,0,2004
unspecified sole,april,465,2004
barred surfperch,april,1343,2004
black surfperch,april,0,2004
rubberlip surfperch,april,1,2004
unspecified surfperch,april,298,2004
swordfish,april,0,2004
longspine thornyhead,april,225,2004
shortspine thornyhead,april,984,2004
thornyheads,april,592,2004
albacore tuna,april,0,2004
bluefin tuna,april,0,2004
skipjack tuna,april,0,2004
yellowfin tuna,april,0,2004
ocean whitefish,april,231,2004
pacific whiting,april,10,2004
rock wrasse,april,2,2004
yellowtail,april,0,2004
crustaceans,april,NA,2004
dungeness crab,april,0,2004
box crab,april,59,2004
claws crab,april,153,2004
king crab,april,34,2004
red rock crab,april,0,2004
rock unspecified crab,april,51560,2004
sand crab,april,0,2004
spider crab,april,4799,2004
yellow rock crab,april,5,2004
unspecified crustacean,april,6,2004
california spiny lobster,april,0,2004
ridgeback prawn,april,8322,2004
spot prawn,april,5311,2004
mantis shrimp,april,65,2004
unspecified shrimp,april,145,2004
echinoderms,april,NA,2004
giant red sea cucumber,april,12342,2004
warty sea cucumber,april,37700,2004
sea stars,april,0,2004
purple sea urchin,april,0,2004
red sea urchin,april,399363,2004
mollusks,april,NA,2004
unspecified clam,april,0,2004
mussel,april,0,2004
unspecified octopus,april,2,2004
sea snail,april,164,2004
top snail,april,0,2004
moon snails,april,435,2004
jumbo squid,april,45,2004
market squid,april,4401017,2004
kellet's whelk,april,3084,2004
dolphin (fish),april,421,2004
escolar,april,687,2004
unspecified jacks,april,0,2004
opah,april,156,2004
pacific pomfret,april,26,2004
bigeye thresher shark,april,0,2004
shortfin mako shark,april,281,2004
swordfish,april,4324,2004
albacore tuna,april,206,2004
bigeye tuna,april,7171,2004
skipjack tuna,april,0,2004
yellowfin tuna,april,0,2004
yellowtail,april,0,2004
mollusks,april,NA,2004
jumbo squid,april,0,2004
albacore tuna,april,0,2004
northern anchovy,may,44931,2004
california barracuda,may,378,2004
giant sea bass,may,350,2004
blacksmith,may,0,2004
pacific bonito,may,0,2004
butterfish (pacific pompano),may,1,2004
cabezon,may,3029,2004
unspecifed croaker,may,0,2004
white croaker,may,137,2004
california moray eel,may,0,2004
escolar,may,0,2004
unspecified fish,may,0,2004
unspecified flounder,may,0,2004
flyingfish,may,0,2004
kelp greenling,may,1,2004
shovelnose guitarfish,may,1178,2004
halfmoon,may,0,2004
california halibut,may,19247,2004
unspecified halibut,may,0,2004
lingcod,may,782,2004
california lizardfish,may,0,2004
louvar,may,0,2004
pacific mackerel,may,0,2004
jack mackerel,may,10,2004
unspecified mackerel,may,0,2004
opah,may,0,2004
opaleye,may,0,2004
pacific pomfret,may,0,2004
pacific electric ray,may,0,2004
bat ray,may,12,2004
unspecified ray,may,17,2004
mexican rockfish,may,0,2004
aurora rockfish,may,20,2004
bank rockfish,may,0,2004
black-and-yellow rockfish,may,4,2004
black rockfish,may,0,2004
blackgill rockfish,may,830,2004
blue rockfish,may,1,2004
bocaccio rockfish,may,81,2004
brown rockfish,may,57,2004
chilipepper rockfish,may,0,2004
copper (whitebelly) rockfish,may,0,2004
copper rockfish,may,528,2004
flag rockfish,may,0,2004
gopher rockfish,may,21,2004
grass rockfish,may,832,2004
greenspotted rockfish,may,15,2004
group bolina rockfish,may,0,2004
group gopher rockfish,may,8,2004
group red rockfish,may,906,2004
group shelf rockfish,may,0,2004
group slope rockfish,may,0,2004
group small rockfish,may,49,2004
kelp rockfish,may,0,2004
olive rockfish,may,0,2004
redbanded rockfish,may,0,2004
rosy rockfish,may,0,2004
speckled rockfish,may,0,2004
splitnose rockfish,may,0,2004
starry rockfish,may,7,2004
treefish rockfish,may,30,2004
unspecified rockfish,may,45,2004
vermilion rockfish,may,233,2004
widow rockfish,may,167,2004
yellowtail rockfish,may,0,2004
sablefish,may,4230,2004
chinook salmon,may,421,2004
salmon,may,0,2004
pacific sanddab,may,0,2004
sanddab,may,1021,2004
pacific sardine,may,71987,2004
sargo,may,0,2004
california scorpionfish,may,430,2004
white seabass,may,892,2004
pacific angel shark,may,1944,2004
basking shark,may,0,2004
brown smoothhound shark,may,21,2004
leopard shark,may,342,2004
shortfin mako shark,may,0,2004
soupfin shark,may,286,2004
spiny dogfish shark,may,16,2004
swell shark,may,0,2004
thresher shark,may,1444,2004
unspecified shark,may,17,2004
california sheephead,may,4901,2004
unspecified skate,may,59,2004
dover sole,may,220,2004
english sole,may,4519,2004
petrale sole,may,3140,2004
rex sole,may,0,2004
rock sole,may,15,2004
unspecified sole,may,1423,2004
barred surfperch,may,0,2004
black surfperch,may,0,2004
rubberlip surfperch,may,10,2004
unspecified surfperch,may,0,2004
swordfish,may,0,2004
longspine thornyhead,may,738,2004
shortspine thornyhead,may,4785,2004
thornyheads,may,376,2004
albacore tuna,may,0,2004
bluefin tuna,may,0,2004
skipjack tuna,may,0,2004
yellowfin tuna,may,0,2004
ocean whitefish,may,117,2004
pacific whiting,may,32,2004
rock wrasse,may,0,2004
yellowtail,may,0,2004
crustaceans,may,NA,2004
dungeness crab,may,0,2004
box crab,may,378,2004
claws crab,may,165,2004
king crab,may,0,2004
red rock crab,may,0,2004
rock unspecified crab,may,47286,2004
sand crab,may,341,2004
spider crab,may,5567,2004
yellow rock crab,may,0,2004
unspecified crustacean,may,46,2004
california spiny lobster,may,0,2004
ridgeback prawn,may,8432,2004
spot prawn,may,3583,2004
mantis shrimp,may,265,2004
unspecified shrimp,may,0,2004
echinoderms,may,NA,2004
giant red sea cucumber,may,19988,2004
warty sea cucumber,may,24520,2004
sea stars,may,5,2004
purple sea urchin,may,0,2004
red sea urchin,may,618180,2004
mollusks,may,NA,2004
unspecified clam,may,3,2004
mussel,may,0,2004
unspecified octopus,may,64,2004
sea snail,may,442,2004
top snail,may,0,2004
moon snails,may,636,2004
jumbo squid,may,0,2004
market squid,may,4007535,2004
kellet's whelk,may,1572,2004
dolphin (fish),may,395,2004
escolar,may,219,2004
unspecified jacks,may,0,2004
opah,may,245,2004
pacific pomfret,may,0,2004
bigeye thresher shark,may,0,2004
shortfin mako shark,may,61,2004
swordfish,may,588,2004
albacore tuna,may,416,2004
bigeye tuna,may,1649,2004
skipjack tuna,may,5,2004
yellowfin tuna,may,262,2004
yellowtail,may,19,2004
mollusks,may,NA,2004
jumbo squid,may,0,2004
albacore tuna,may,0,2004
northern anchovy,june,116804,2004
california barracuda,june,724,2004
giant sea bass,june,160,2004
blacksmith,june,0,2004
pacific bonito,june,139,2004
butterfish (pacific pompano),june,0,2004
cabezon,june,1923,2004
unspecifed croaker,june,17,2004
white croaker,june,3,2004
california moray eel,june,0,2004
escolar,june,0,2004
unspecified fish,june,0,2004
unspecified flounder,june,6,2004
flyingfish,june,10,2004
kelp greenling,june,0,2004
shovelnose guitarfish,june,105,2004
halfmoon,june,0,2004
california halibut,june,21018,2004
unspecified halibut,june,0,2004
lingcod,june,926,2004
california lizardfish,june,0,2004
louvar,june,0,2004
pacific mackerel,june,0,2004
jack mackerel,june,29,2004
unspecified mackerel,june,0,2004
opah,june,0,2004
opaleye,june,0,2004
pacific pomfret,june,0,2004
pacific electric ray,june,110,2004
bat ray,june,0,2004
unspecified ray,june,2,2004
mexican rockfish,june,0,2004
aurora rockfish,june,1,2004
bank rockfish,june,0,2004
black-and-yellow rockfish,june,10,2004
black rockfish,june,0,2004
blackgill rockfish,june,464,2004
blue rockfish,june,19,2004
bocaccio rockfish,june,1316,2004
brown rockfish,june,113,2004
chilipepper rockfish,june,93,2004
copper (whitebelly) rockfish,june,0,2004
copper rockfish,june,662,2004
flag rockfish,june,3,2004
gopher rockfish,june,31,2004
grass rockfish,june,748,2004
greenspotted rockfish,june,2,2004
group bolina rockfish,june,0,2004
group gopher rockfish,june,4,2004
group red rockfish,june,1182,2004
group shelf rockfish,june,21,2004
group slope rockfish,june,0,2004
group small rockfish,june,0,2004
kelp rockfish,june,3,2004
olive rockfish,june,36,2004
redbanded rockfish,june,0,2004
rosy rockfish,june,0,2004
speckled rockfish,june,0,2004
splitnose rockfish,june,0,2004
starry rockfish,june,5,2004
treefish rockfish,june,17,2004
unspecified rockfish,june,218,2004
vermilion rockfish,june,1049,2004
widow rockfish,june,0,2004
yellowtail rockfish,june,0,2004
sablefish,june,883,2004
chinook salmon,june,3986,2004
salmon,june,0,2004
pacific sanddab,june,0,2004
sanddab,june,3,2004
pacific sardine,june,241440,2004
sargo,june,2,2004
california scorpionfish,june,55,2004
white seabass,june,88028,2004
pacific angel shark,june,1026,2004
basking shark,june,0,2004
brown smoothhound shark,june,32,2004
leopard shark,june,255,2004
shortfin mako shark,june,6614,2004
soupfin shark,june,1061,2004
spiny dogfish shark,june,0,2004
swell shark,june,0,2004
thresher shark,june,5721,2004
unspecified shark,june,0,2004
california sheephead,june,5996,2004
unspecified skate,june,0,2004
dover sole,june,70,2004
english sole,june,0,2004
petrale sole,june,0,2004
rex sole,june,0,2004
rock sole,june,0,2004
unspecified sole,june,800,2004
barred surfperch,june,27,2004
black surfperch,june,0,2004
rubberlip surfperch,june,1,2004
unspecified surfperch,june,0,2004
swordfish,june,0,2004
longspine thornyhead,june,90,2004
shortspine thornyhead,june,1084,2004
thornyheads,june,161,2004
albacore tuna,june,0,2004
bluefin tuna,june,0,2004
skipjack tuna,june,0,2004
yellowfin tuna,june,56,2004
ocean whitefish,june,61,2004
pacific whiting,june,1,2004
rock wrasse,june,0,2004
yellowtail,june,1267,2004
crustaceans,june,NA,2004
dungeness crab,june,400,2004
box crab,june,0,2004
claws crab,june,87,2004
king crab,june,0,2004
red rock crab,june,69,2004
rock unspecified crab,june,54211,2004
sand crab,june,0,2004
spider crab,june,3796,2004
yellow rock crab,june,0,2004
unspecified crustacean,june,36,2004
california spiny lobster,june,0,2004
ridgeback prawn,june,0,2004
spot prawn,june,2265,2004
mantis shrimp,june,9,2004
unspecified shrimp,june,0,2004
echinoderms,june,NA,2004
giant red sea cucumber,june,28700,2004
warty sea cucumber,june,18859,2004
sea stars,june,0,2004
purple sea urchin,june,0,2004
red sea urchin,june,514420,2004
mollusks,june,NA,2004
unspecified clam,june,0,2004
mussel,june,0,2004
unspecified octopus,june,0,2004
sea snail,june,60,2004
top snail,june,0,2004
moon snails,june,0,2004
jumbo squid,june,0,2004
market squid,june,2688679,2004
kellet's whelk,june,1644,2004
dolphin (fish),june,0,2004
escolar,june,0,2004
unspecified jacks,june,0,2004
opah,june,0,2004
pacific pomfret,june,0,2004
bigeye thresher shark,june,0,2004
shortfin mako shark,june,0,2004
swordfish,june,0,2004
albacore tuna,june,0,2004
bigeye tuna,june,0,2004
skipjack tuna,june,0,2004
yellowfin tuna,june,0,2004
yellowtail,june,0,2004
mollusks,june,NA,2004
jumbo squid,june,0,2004
albacore tuna,june,0,2004
northern anchovy,july,389837,2004
california barracuda,july,791,2004
giant sea bass,july,494,2004
blacksmith,july,0,2004
pacific bonito,july,1626,2004
butterfish (pacific pompano),july,0,2004
cabezon,july,2195,2004
unspecifed croaker,july,41,2004
white croaker,july,25,2004
california moray eel,july,0,2004
escolar,july,0,2004
unspecified fish,july,0,2004
unspecified flounder,july,0,2004
flyingfish,july,0,2004
kelp greenling,july,0,2004
shovelnose guitarfish,july,0,2004
halfmoon,july,1,2004
california halibut,july,24075,2004
unspecified halibut,july,0,2004
lingcod,july,1408,2004
california lizardfish,july,0,2004
louvar,july,0,2004
pacific mackerel,july,1,2004
jack mackerel,july,0,2004
unspecified mackerel,july,0,2004
opah,july,103,2004
opaleye,july,2,2004
pacific pomfret,july,0,2004
pacific electric ray,july,127,2004
bat ray,july,0,2004
unspecified ray,july,0,2004
mexican rockfish,july,0,2004
aurora rockfish,july,0,2004
bank rockfish,july,0,2004
black-and-yellow rockfish,july,21,2004
black rockfish,july,0,2004
blackgill rockfish,july,1580,2004
blue rockfish,july,21,2004
bocaccio rockfish,july,1966,2004
brown rockfish,july,166,2004
chilipepper rockfish,july,30,2004
copper (whitebelly) rockfish,july,0,2004
copper rockfish,july,267,2004
flag rockfish,july,0,2004
gopher rockfish,july,62,2004
grass rockfish,july,1229,2004
greenspotted rockfish,july,19,2004
group bolina rockfish,july,2,2004
group gopher rockfish,july,0,2004
group red rockfish,july,842,2004
group shelf rockfish,july,152,2004
group slope rockfish,july,0,2004
group small rockfish,july,8,2004
kelp rockfish,july,55,2004
olive rockfish,july,5,2004
redbanded rockfish,july,0,2004
rosy rockfish,july,0,2004
speckled rockfish,july,0,2004
splitnose rockfish,july,0,2004
starry rockfish,july,4,2004
treefish rockfish,july,30,2004
unspecified rockfish,july,110,2004
vermilion rockfish,july,505,2004
widow rockfish,july,0,2004
yellowtail rockfish,july,196,2004
sablefish,july,2491,2004
chinook salmon,july,3757,2004
salmon,july,1625,2004
pacific sanddab,july,0,2004
sanddab,july,843,2004
pacific sardine,july,550213,2004
sargo,july,0,2004
california scorpionfish,july,29,2004
white seabass,july,41470,2004
pacific angel shark,july,1151,2004
basking shark,july,0,2004
brown smoothhound shark,july,9,2004
leopard shark,july,292,2004
shortfin mako shark,july,2848,2004
soupfin shark,july,779,2004
spiny dogfish shark,july,0,2004
swell shark,july,0,2004
thresher shark,july,15845,2004
unspecified shark,july,0,2004
california sheephead,july,3957,2004
unspecified skate,july,0,2004
dover sole,july,202,2004
english sole,july,229,2004
petrale sole,july,9,2004
rex sole,july,0,2004
rock sole,july,4,2004
unspecified sole,july,873,2004
barred surfperch,july,1098,2004
black surfperch,july,0,2004
rubberlip surfperch,july,0,2004
unspecified surfperch,july,398,2004
swordfish,july,339,2004
longspine thornyhead,july,265,2004
shortspine thornyhead,july,3436,2004
thornyheads,july,525,2004
albacore tuna,july,679,2004
bluefin tuna,july,0,2004
skipjack tuna,july,0,2004
yellowfin tuna,july,0,2004
ocean whitefish,july,345,2004
pacific whiting,july,3,2004
rock wrasse,july,1,2004
yellowtail,july,320,2004
crustaceans,july,NA,2004
dungeness crab,july,0,2004
box crab,july,122,2004
claws crab,july,48,2004
king crab,july,0,2004
red rock crab,july,0,2004
