Taxa,CommonName,Family,Order,Class,include,Juv.cut.cm,fishcode,WL_Non.standard,WL_a,WL_b,WL_W_units,WL_L_units,WL_input_length,WL_Reference_Notes,WL_Notes,LC.a._for_WL,LC.b._for_WL,LC_type_for_WL,LL_Reference_Notes_for_WL,LL_Equation_for_WL,VBGF.Linf,VBGF.k,VBGF.t0,VBGF.Linf.F,VBGF.k.F,VBGF.t0.F,VBGF.Linf.M,VBGF.k.M,VBGF.t0.M,VBGF_input_length,VBGF.Reference,VBGF_Reference_Notes,LC.a._for_VBGF,LC.b._for_VBGF,LC_type_for_VBGF,LL_reference_for_VBGF,LL_equation_for_VBGF,F_Type,F_a,F_b,F_L_units,F_input_length,DescriptionA,Output.units,F_Citation,Size_Mature_cm,SM_input_length,F_SM_Notes,guild,description,LETTER.6,Code,pisco_classcode,crane_code,VGR.code,RCCA.code,KFM.species.number,KFM.species.code,LTER.code,rigbase.fishcode,rigbase_Scientific_Name,rigbase_Common_Name,rigbase_sp_sub_gp,rigbase_species_grp,rigbase_Family,rigbase_category,spelling.old.name,Max_Length_fishbase,No.Lat,So.Lat,lim_min_in,TrophicGroup,BroadTrophic,Targeted,Notes_TG,Biomass_Buster
Hermosilla azurea,zebraperch,Kyphosidae,Perciformes,Actinopterygii,1,10,H_AZUR,NA,1.14E-05,3.2055,g,mm,SL,Williams et al. 2013,,1.145,0,REVERSE,FishBase,TL = 1.145*SL ,21.79,0.35,-1.648,NA,NA,NA,NA,NA,NA,SL,Used Embiotoca jacksoni,,1.146,0,REVERSE,FishBase,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,substrate associated herbivores,HERAZU,35801,HAZU,HAZU,Hermosilla azurea,,NA,,,H_AZUR,Hermosilla azurea,zebraperch,CHUBS,CHUBS,Kyphosidae,,,45,36,23,NA,herbivore,herbivore,Non-targeted,,1
Hypsurus caryi,rainbow seaperch,Embiotocidae,Perciformes,Actinopterygii,1,10,H_CARY,NA,2.00E-05,3.051,g,mm,SL,Miller et al. 2008,,1.222,0,REVERSE,FishBase,TL=1.222SL,21.79,0.35,-1.648,NA,NA,NA,NA,NA,NA,SL,Used Embiotoca jacksoni,,1.146,0,REVERSE,FishBase,TL=1.222SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,substrate associated  benthic foragers  schooling/nonscholloing  diurnal generalists,HYPCAR,39995,HCAR,HCAR,Hypsurus caryi,rainbow seaperch,NA,,HCAR,H_CARY,Hypsurus caryi,rainbow surfperch,SURFPERCH,SURFPERCH,Embiotocidae,,,30,40,31,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Hexagrammos decagrammus,kelp greenling,Hexagrammidae,Scorpaeniformes,Actinopterygii,1,10,H_DECA,NA,3.56E-06,3.221,g,mm,TL,Moulton et al. 1977,,NA,NA,NA,,,NA,NA,NA,43,0.2,-2.5,39.5,0.3,-1.4,FL,Cope and MacCall 2005,FL cm,0.985,0,TYPICAL,FishBase,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,substrate associated  substrate sitters  microcarnivores  diurnal,HEXDEC,39007,HDEC,HDEC,Hexagrammos decagrammus,kelp greenling,NA,,HDEC,H_DECA,Hexagrammos decagrammus,kelp greenling,GREENLING,GREENLING,Hexagrammidae,Other fishes,,61,NA,NA,12,benthic macro-invertivore,carnivore,Targeted,,1
Hyperprosopon ellipticum,silver surfperch,Embiotocidae,Perciformes,Actinopterygii,1,5,,NA,4.70E-06,3.227,g,mm,TL,Wydoski and Bennett 1973,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,HELL,HELL,,,NA,,,,,,,,,,,27,50,29,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Heterodontus francisci,horn shark,Heterodontidae,Heterodontiformes,Elasmobranchii,1,10,,NA,1.18E-05,2.9431,g,mm,TL,Williams et al. 2013,,NA,NA,NA,,,1337,0.059,5.294,NA,NA,NA,NA,NA,NA,NA,Used H. portusjacksoni (Tovar-çvila et al. 2009),TL cm,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,substrate associated crushers,HETFRA,39006,HFRA,HFRA,Heterodontus francisci,horn shark,NA,,,,,,,,,,Heterodontis fransisci,122,NA,NA,NA,benthic macro-invertivore,carnivore,Non-targeted,,1
Heterostichus rostratus,giant kelpfish,Clinidae,Perciformes,Actinopterygii,1,10,GKELPF,NA,3.97E-06,3.168,g,mm,SL,Williams et al. 2013,,1.132,0.12311,REVERSE,Williams et al. 2013,TL= 1.132 *SL + 1.2311,NA,NA,NA,156.5,0.054,-1.1,32.3,0.57,-0.35,TL,used Heterostichus rostratus (Stepien 1986),(both sexes extreme in a different way - try to find alternative if possible,1.132,0.12311,REVERSE,Williams et al. 2013,TL= 1.132 *SL + 1.2311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,substrate associated  non-schooling  diurnal  engulfers,HETROS,17504,HROS,HROS,Heterostichus rostratus,,NA,,HROS,GKELPF,Heterostichus rostratus,giant kelpfish,KELPFISH,KELPFISH,Clinidae,,,61,53,22,NA,benthic macro-invertivore,carnivore,Non-targeted,,1
Hypsypops rubicundus,garibaldi,Pomacentridae,Perciformes,Actinopterygii,1,10,H_RUBI,NA,3.07E-05,3.1093,g,mm,SL,Williams et al. 2013,,1.213,0,REVERSE,FishBase,TL=1.213SL,21.79,0.35,-1.648,NA,NA,NA,NA,NA,NA,SL,Used Embiotoca jacksoni,,1.146,0,REVERSE,FishBase,TL=1.213SL,NS,NA,NA,NA,NA,35eggs/g in each batch for fish over 21.7cm TL,# eggs,Demartini 1994,21.7,TL,Size at first repro 21.7 cm (Clarke 1970),11,substrate associated  benthic foragers  schooling/nonscholloing  diurnal generalists,HYPRUB,15501,HRUB,HRUB,Hypsypops rubicundus,Garibaldi,14021,Hypsypops rubicundus Adult,HRUB,H_RUBI,Hypsypops rubicundus,garibaldi,DAMSELFISH,DAMSELFISH,Pomacentridae,,,30,36,24,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Halichoeres semicinctus,rock wrasse,Labridae,Perciformes,Actinopterygii,1,10,H_SEMI,NA,4.50E-06,3.16,g,mm,TL,RecFIN,,NA,NA,NA,,,21.31,0.52,-2.09,NA,NA,NA,NA,NA,NA,SL,Adreani 2003,SL cm,0.85,0,TYPICAL,FishBase,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,HALSEM,15702,HSEM,HSEM,Halichoeres semicinctus,rock wrasse,14028,Halichoeres semicinctus Male,HSEM,H_SEMI,Halichoeres semicinctus,rock wrasse,wrasse,wrasse,Labridae,,,38,34,23,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
S. atrovirens/carnatus/chrysomelas(YOY),kelp/gopher/black-and-yellow rockfish (YOY),Scorpaenidae,Scorpaeniformes,Actinopterygii,1,10,,NA,0.0239,2.862,g,cm,TL,used Sebastes atrovirens,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,,NA,NA,KGB,KGB,S. atrovirens/carnatus/chrysomelas(YOY),,NA,,,,,,,,,,,NA,NA,NA,NA,planktivore,carnivore,Non-targeted,,1
Lethops connectens,halfblind goby,Gobiidae,Perciformes,Actinopterygii,1,1.5,,NA,6.28E-06,3.2635,g,mm,SL,used Rhinogobiops nicholsii,,0.8355,-0.0725,TYPICAL,, (SL = aTL+b)cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,(SL = aTL+b)cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,,LETCON,99100,LCON,LCON,Lethops connectens,,NA,,,,,,,,,,,6.4,36,31,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Lythrypnus dalli,bluebanded goby,Gobiidae,Perciformes,Actinopterygii,1,1.5,L_DALL,NA,0.009051,3.101332,g,cm,TL,Love unpublished data,,NA,NA,NA,,,NA,NA,NA,156.5,0.054,-1.1,32.3,0.57,-0.35,TL,used Heterostichus rostratus (Stepien 1986),(both sexes extreme in a different way - try to find alternative if possible,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,substrate associated  hiders (in holes and crevices)  diurnal,LYTDAL,16903,LDAL,LDAL,Lythrypnus dalli,,14025,Lythrypnus dalli,,L_DALL,Lythrypnus dalli,bluebanded goby,GOBY,GOBY,Gobiidae,,Lythrypnus dalii,6.4,36,23,NA,planktivore,planktivore,Non-targeted,,1
Leiocottus hirundo,lavender sculpin,Cottidae,Scorpaeniformes,Actinopterygii,1,10,,NA,3.58E-05,2.9,g,mm,TL,RecFIN,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,substrate associated  diggers and extractors,LEIHIR,36002,LHIR,LHIR,Leiocottus hirundo,,NA,,LHIR,,,,,,,,,25,NA,NA,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Liparis mucosus,slimy snailfish,Liparidae,Scorpaeniformes,Actinopterygii,1,1.5,,NA,8.16E-06,3.09,g,mm,SL,used Careproctus melanurus,,1.126,0,REVERSE,used Careproctus melanurus,TL=1.126SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,LIPMUC,39019,LMUC,LMUC,,,NA,,,,,,,,,,,13,50,29,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Lythrypnus zebra,zebra goby,Gobiidae,Perciformes,Actinopterygii,1,1.5,,NA,0.009051,3.101332,g,cm,TL,used Lythrypnus dalli,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,,LYTZEB,16904,LZEB,,Lythrypnus zebra,,NA,,,,,,,,,,,5.7,NA,NA,NA,planktivore,planktivore,Non-targeted,,1
Medialuna californiensis,halfmoon,Kyphosidae,Perciformes,Actinopterygii,1,10,HALFMN,NA,0.019562,2.962829,g,cm,TL,Love unpublished data,,NA,NA,NA,,,28.4,0.7,-0.18,NA,NA,NA,NA,NA,NA,SL,Bredvik et al. 2012,SL cm,0.92,0,TYPICAL,FishBase,,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,substrate associated herbivores,MEDCAL,19016,MCAL,MCAL,Medialuna californiensis,,NA,,MCAL,HALFMN,Medialuna californiensis,halfmoon,CHUBS,CHUBS,Kyphosidae,,,48,NA,NA,NA,herbivore,herbivore,Non-targeted,,1
Micrometrus minimus,dwarf perch,Embiotocidae,Perciformes,Actinopterygii,1,5,M_MINI,NA,2.91E-05,3.0198,g,mm,SL,Williams et al. 2013,,1.1887,0.33526,REVERSE,Williams et al. 2013,TL= 1.1887 *SL + 3.3526,12.87,0.63,-0.45,NA,NA,NA,NA,NA,NA,SL,used Cymatogater aggregata,,1.1887,0.33526,REVERSE,Williams et al. 2013,TL= 1.1887 *SL + 3.3526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,substrate associated  benthic foragers  schooling/nonscholloing  diurnal generalists,MICMIN,39996,MMIN,,Micrometrus minimus,,NA,,,M_MINI,Micrometrus minimus,dwarf surfperch,SURFPERCH,SURFPERCH,Embiotocidae,,,16,38,28,NA,benthic micro-invertivore,carnivore,Targeted,,1
Notorynchus cepedianus,broadnose sevengill shark,Hexanchidae,Hexanchiformes,Elasmobranchii,1,10,NA,NA,8.61E-07,3.2152,g,mm,TL,Williams et al. 2013,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOTCEP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,piscivore,piscivore,Targeted,,0
Neoclinus blanchardi,sarcastic fringehead,Chaenopsidae,Perciformes,Actinopterygii,1,10,,NA,0.009,3.003,g,cm,TL,Love unpublished- Love 2011,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NEOBLA,17506,NBLA,,,,NA,,,,,,,,,,,30,37,28,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
No fish,no fish,NA,NA,NA,1,10,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NOFISH,90001,NO_ORG,NO_ORG,No fish,,NA,,NF,,,,,,,,no species collected,NA,NA,NA,NA,,,,,1
Neoclinus stephensae,yellowfin fringehead,Chaenopsidae,Perciformes,Actinopterygii,1,10,,NA,0.0095,2.824,g,cm,TL,Love unpublished- Love 2011,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NEOSTE,17507,NSTE,NSTE,,,NA,,,,,,,,,,,10,36,27,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Oxyjulis californica,senorita,Labridae,Perciformes,Actinopterygii,1,10,SENOR,NA,4.50E-06,3.16,g,mm,TL,RecFIN,,NA,NA,NA,,,21.31,0.52,-2.09,NA,NA,NA,NA,NA,NA,SL,used Halichoeres semicinctus,,0.87,0,TYPICAL,FishBase,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,substrate associated  water column foragers  benthic foragers  schooling  often benthic refuging  diurnal  pickers,OXYCAL,15700,OCAL,OCAL,Oxyjulis californica,Senorita,14003,Oxyjulis californica Adult,OCAL,SENOR,Oxyjulis californica,senorita,WRASSE,WRASSE,Labridae,Other fishes,,25,38,28,NA,planktivore,planktivore,Non-targeted,,1
Ophiodon elongatus,lingcod,Hexagrammidae,Scorpaeniformes,Actinopterygii,1,10,LING,NA,1.16E-08,2.99,kg,mm,TL,RecFIN,,NA,NA,NA,,,NA,NA,NA,112.8,0.145,-1.573,81.7,0.223,-1.435,FL,Jagielo and Wallace 2005,FL cm,1,0,REVERSE,FishBase,,NS,NA,NA,NA,NA,26 eggs/g body weight for females over 55.7cm FL,# eggs,Cass 1990,55.7,FL,Female 50% maturity 55.7 cm FL (Silberberg 2001),16,substrate associated  water column/benthic forgaers  mesocarnivores,OPHELO,39013,OELO,OELO,Ophiodon elongatus,Lingcod,NA,,OELO,LING,Ophiodon elongatus,lingcod,GREENLING,GREENLING,Hexagrammidae,Other fishes,,152,57,29,22,piscivore,piscivore,Targeted,,1
Oxylebius pictus,painted greenling,Hexagrammidae,Scorpaeniformes,Actinopterygii,1,10,CONVCT,NA,1.52E-05,3.1084,g,mm,SL,Williams et al. 2013,,1.16,0,REVERSE,FishBase,TL=1.16SL,18.4,0.31968,-1.488,NA,NA,NA,NA,NA,NA,TL,DeMartini and Anderson 1980,TL cm,NA,NA,NA,,,NS,NA,NA,NA,NA,F(eggs)=82+35.73*wt(g) for females over 14cm,# eggs,DeMartini 1980,14,TL,Female Size at maturity 14cm (DeMartini 1980),17,substrate associated  substrate sitters  microcarnivores  diurnal,OXYPIC,16311,OPIC,OPIC,Oxylebius pictus,,14030,Oxylebius pictus,OPIC,CONVCT,Oxylebius pictus,painted greenling,GREENLING,GREENLING,Hexagrammidae,Other fishes,,25,54,29,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Orthonopias triacis,snubnose sculpin,Cottidae,Scorpaeniformes,Actinopterygii,1,3,OR_TRI,NA,7.00E-05,2.6479,g,mm,SL,VRG unpublished data,,0.8081,-0.00774,TYPICAL,VRG unpublished data,(SL = aTL+b)cm,11.7,0.36,0,NA,NA,NA,NA,NA,NA,TL,used Clinocottus analis,,NA,NA,NA,VRG unpublished data,(SL = aTL+b)cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,,ORTTRI,36003,OTRI,OTRI,Orthonopias triacis,,NA,,OTRI,OR_TRI,Orthonopias triacis,snubnose sculpin,SCULPIN,SCULPIN,Cottidae,,,10,37,29,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
S. serranoides/mystinus(YOY),olive/blue rockfish (YOY),Scorpaenidae,Scorpaeniformes,Actinopterygii,1,10,,NA,5.21E-06,3.1541,g,mm,TL,used Sebastes serranoides,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,OYB,OYB,,yellowtail rockfish & olive rockfish,NA,,,,,,,,,,,NA,NA,NA,NA,planktivore,planktivore,Non-targeted,,1
S. serranoides/flavidus(YOY),olive/yellowtail rockfish (YOY),Scorpaenidae,Scorpaeniformes,Actinopterygii,1,10,,NA,5.21E-06,3.1541,g,mm,TL,used Sebastes serranoides,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,,,NA,OYT,SSER,,yellowtail rockfish & olive rockfish,14008,Sebastes serranoides Juvenile,SSER,,,,,,,,,NA,NA,NA,NA,planktivore,planktivore,Non-targeted,,1
Paralichthys californicus,California halibut,Paralichthyidae,Pleuronectiformes,Actinopterygii,1,10,P_CALI,NA,2.55E-05,2.9127,g,mm,SL,Williams et al. 2013,,1.1582,0.82566,REVERSE,Williams et al. 2013,TL= 1.1582 *SL + 8.2566,NA,NA,NA,136.7,0.08,-1.2,92.53,0.08,-2.2,TL,MacNair et al. 2001,TL cm,1.1582,0.82566,REVERSE,Williams et al. 2013,TL= 1.1582 *SL + 8.2566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,substrate associated  benthic foragers  schooling/nonscholloing  diurnal generalists,PARCAL,13804,PCAL,PCAL,Paralichthys californicus,,NA,,PCAL,P_CALI,Paralichthys californicus,California halibut,FLATFISH,FLATFISH,Paralichthyidae,Flatfishes,Paralichthys californica,152,50,25,22,piscivore,piscivore,Targeted,,1
Paralabrax clathratus,kelp bass,Serranidae,Perciformes,Actinopterygii,1,10,P_CLATH,NA,2.09E-05,3.0106,g,mm,SL,Williams et al. 2013,,1.1946,0.13103,REVERSE,Williams et al. 2013,TL= 1.1946 *SL + 1.3103,69.8,0.06,-3.5,NA,NA,NA,NA,NA,NA,TL,Love et al. 1996,TL cm,1.1946,0.13103,REVERSE,Williams et al. 2013,TL= 1.1946 *SL + 1.3103,NS,NA,NA,NA,NA,annual egg production,NA,Claisse 2012,23,TL,(Female L50 -Love 1996),16,substrate associated  water column/benthic forgaers  mesocarnivores,PARCLA,14010,PCLA,PCLA,Paralabrax clathratus,kelp bass,14011,Paralabrax clathratus Adult,PCLA,P_CLATH,Paralabrax clathratus,kelp bass,GROUPER,GROUPER,Serranidae,,,72,46,24,14,piscivore,piscivore,Targeted,,1
Pleuronichthys coenosus,C-O sole,Pleuronectidae,Pleuronectiformes,Actinopterygii,1,10,P_COEN,NA,5.73E-10,3.5764,kg,mm,TL,RecFIN,,NA,NA,NA,,,19.83,0.1,-0.31,NA,NA,NA,NA,NA,NA,SL,used Hypsopsetta guttulata,,0.82,0,TYPICAL,FishBase,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,substrate associated  non-schooling  diurnal  engulfers,PLECOE,13818,PCOE,PCOE,Pleuronichthys coenosus,,NA,,,P_COEN,Pleuronichthys coenosus,C-O turbot,FLATFISH,FLATFISH,Pleuronectidae,,,36,57,31,NA,benthic macro-invertivore,carnivore,Non-targeted,,1
Phanerodon furcatus,white seaperch,Embiotocidae,Perciformes,Actinopterygii,1,10,P_FURC,NA,2.00E-05,3.053,g,mm,SL,Miller et al. 2008,,0.7716,-0.122,TYPICAL,Eckmayer 1979,SL=.771605TL-.122222 (cm),20.2,0.425,-0.782,NA,NA,NA,NA,NA,NA,SL,Eckmayer 1979,SL cm,0.7716,-0.122,TYPICAL,Eckmayer 1979,SL=.771605TL-.122222 (cm),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,PHAFUR,39997,PFUR,PFUR,Phanerodon furcatus,,NA,,PFUR,P_FURC,Phanerodon furcatus,white surfperch,SURFPERCH,SURFPERCH,Embiotocidae,Sea perches,,32,50,31,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Pholidae,gunnels,Pholidae,Perciformes,Actinopterygii,1,10,GUNNEL,NA,0.0043,3.018,g,cm,TL,used Pholis gunnellus,,NA,NA,NA,,,23.3,0.18,-0.88,NA,NA,NA,NA,NA,NA,TL,used Pholis gunnellus,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,39500,PHOL,PHOL,,,NA,,,GUNNEL,Pholidae,unidentified gunnels,GUNNEL,GUNNEL,Pholidae,Other fishes,,NA,NA,NA,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Paralabrax nebulifer,barred sand bass,Serranidae,Perciformes,Actinopterygii,1,10,P_NEBU,NA,2.89E-05,2.9522,g,mm,SL,Williams et al. 2013,,1.1537,0.47728,REVERSE,Williams et al. 2013,TL= 1.1537 *SL + 4.7728,66.2,0.08,-2.63,NA,NA,NA,NA,NA,NA,TL,Love et al. 1996,TL cm,1.1537,0.47728,REVERSE,Williams et al. 2013,TL= 1.1537 *SL + 4.7728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,,PARNEB,14012,PNEB,PNEB,Paralabrax nebulifer,,NA,,PNEB,P_NEBU,Paralabrax nebulifer,barred sand bass,GROUPER,GROUPER,Serranidae,,,67,37,24,14,benthic macro-invertivore,carnivore,Targeted,,1
Platyrhinoidis triseriata,thornback,Rhinobatidae,Rajiformes,Elasmobranchii,1,10,,NA,7.00E-06,2.9774,g,mm,TL,Miller et al. 2008,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,PLATRI,39009,PTRI,PTRI,Platyrhinoidis triseriata,,NA,,PTRY,,,,,,,,,91,NA,NA,NA,benthic macro-invertivore,carnivore,Non-targeted,,1
Rathbunella alleni,stripefin ronquil,Bathymasteridae,Perciformes,Actinopterygii,1,10,R_ALLE,NA,1.14E-06,3.442696,g,mm,TL,used Rathbunella hypoplecta,,NA,NA,NA,,,62,0.14,-1.95,NA,NA,NA,NA,NA,NA,TL,used Cebidichthys violaceus (Marshall 1992),,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,RATALL,99117,RALL,RALL,Rathbunella alleni,,NA,,,R_ALLE,Rathbunella alleni,stripefin ronquil,RONQUIL,RONQUIL,Bathymasteridae,Other fishes,,NA,NA,NA,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Rathbunella hypoplecta,bluebanded ronquil,Bathymasteridae,Perciformes,Actinopterygii,1,10,R_HYPO,NA,1.14E-06,3.442696,g,mm,TL,Burge and Schultz 1973,,NA,NA,NA,,,62,0.14,-1.95,NA,NA,NA,NA,NA,NA,TL,used Cebidichthys violaceus (Marshall 1992),,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,substrate associated  benthic foragers  pickers and scrapers  diurnal,RATHYP,39018,RHYP,RHYP,Rathbunella hypoplecta,,NA,,,R_HYPO,Rathbunella hypoplecta,bluebanded ronquil,RONQUIL,RONQUIL,Bathymasteridae,Other fishes,Rathbunella hypoplecta,16,50,31,NA,benthic micro-invertivore,carnivore,Non-targeted,,1
Rhinogobiops nicholsii,blackeye goby,Gobiidae,Perciformes,Actinopterygii,1,6,BGOBY,NA,6.28E-06,3.2635,g,mm,SL,Williams et al. 2013,,0.813,0,TYPICAL,FishBase,SL=0.813*TL,11.7,0.36,0,NA,NA,NA,NA,NA,NA,TL,used Clinocottus analis,,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,,CORNIC,16900,RNIC,CNIC,Rhinogobiops nicholsii,,14026,Coryphopterus nicholsii,CNIC,BGOBY,Rhinogobiops nicholsii,blackeye goby,GOBY,GOBY,Gobiidae,Other fishes,Coryphopterus nicholsii,15,NA,NA,NA,planktivore,planktivore,Non-targeted,,1
Rhacochilus toxotes,rubberlip seaperch,Embiotocidae,Perciformes,Actinopterygii,1,10,R_TOXO,NA,2.00E-05,3.0787,g,mm,SL,Miller et al. 2008,,0.853,0,TYPICAL,FishBase,SL=0.853*TL,21.79,0.35,-1.648,NA,NA,NA,NA,NA,NA,SL,Used Embiotoca jacksoni,,0.853,0,TYPICAL,FishBase,SL=0.853*TL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,substrate associated  hiders (in holes and crevices)  diurnal,RHATOX,39998,RTOX,RTOX,Rhacochilus toxotes,rubberlip seaperch,NA,,RTOX,R_TOXO,Rhacochilus toxotes,rubberlip surfperch,SURFPERCH,SURFPERCH,Embiotocidae,Sea perches,,47,39,27,NA,benthic macro-invertivore,carnivore,Non-targeted,,1
Rhacochilus vacca,pile perch,Embiotocidae,Perciformes,Actinopterygii,1,10,PILE,NA,4.00E-05,2.9363,g,mm,SL,Miller et al. 2008,,0.838,0,TYPICAL,FishBase,SL=0.838*TL,21.79,0.35,-1.648,NA,NA,NA,NA,NA,NA,SL,Used Embiotoca jacksoni,,0.838,0,TYPICAL,FishBase,SL=0.838*TL,NS,NA,NA,NA,NA,#Embryos=2.6TL(cm) - 68,# embryos,Wares 1971,29,TL,Female Size at maturity 29cm (Wares 1971),14,substrate associated  nocturnal generalists,RHAVAC,39999,RVAC,RVAC,Rhacochilus vacca,pile perch,14019,Damalichthys vacca Adult,DVAC,PILE,Rhacochilus vacca,pile surfperch,SURFPERCH,SURFPERCH,Embiotocidae,Sea perches,,44.2,56,29,NA,benthic macro-invertivore,carnivore,Non-targeted,,1
Sphyraena argentea,Pacific barracuda,Sphyraenidae,Perciformes,Actinopterygii,1,10,S_ARGE,NA,2.46E-05,2.7552,g,mm,SL,Williams et al. 2013,,1.134,0,REVERSE,FishBase,TL=1.134*SL,NA,NA,NA,77.7,0.2618,-2.711,76.35,0.2373,-3.042,SL,Bottinelli and Allen 2007,SL cm,1.134,0,REVERSE,FishBase,TL=1.134*SL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,SPHARG,15601,SARG,SARG,Sphyraena argentea,,NA,,,S_ARGE,Sphyraena argentea,Pacific barracuda,BARRACUDA,BARRACUDA,Sphyraenidae,,Sphyreana argentium,145,57,22,NA,piscivore,piscivore,Targeted,,1
